taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,created,modified,reference,source,majorGroup,tplID
wfo-0000399913,urn:lsid:ipni.org:names:332783-1,556078,Rhododendron loboense,species,wfo-3000001252,H.F.Copel.,Ericaceae,Ericoideae,,,Rhododendron,Vireya,loboense,,species,Valid,Philipp. J. Sci. 40: 137 (1929),Accepted,,,,"Source in seed data: ksu Update namepublishedIn from Philipp. J. Sci. 40: 137 1929 to Philipp. J. Sci. 40: 137 (1929), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000399913,The Ericaceae TEN,A,kew-2417889
wfo-0000399915,urn:lsid:ipni.org:names:77160-3,556079,Rhododendron lochae,species,wfo-3000001252,F.Muell.,Ericaceae,Ericoideae,,,Rhododendron,Vireya,lochae,,species,Valid,Vict. Naturalist 3: 157 (1887),Accepted,,,,"Source in seed data: ksu Update namepublishedIn from Victoria Naturalist 3: 157 1887 to Vict. Naturalist 3: 157 (1887), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000399915,The Ericaceae TEN,A,kew-2417890
wfo-0000399916,urn:lsid:ipni.org:names:332790-1,556080,Rhododendron longiflorum,species,wfo-3000001252,Lindl.,Ericaceae,Ericoideae,,,Rhododendron,Vireya,longiflorum,,species,Valid,J. Hort. Soc. London 3: 88 (1848),Accepted,,,,"Source in seed data: ksu Update namepublishedIn from J. Hort. Soc. London 3: 88 1848 to J. Hort. Soc. London 3: 88 (1848), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/rec",2022-04-16,2025-12-15,https://padme.rbge.org.uk/wfo/wfo-0000399916,The Ericaceae TEN,A,kew-2417891
wfo-0000399917,urn:lsid:ipni.org:names:332786-1,556081,Rhododendron loerzingii,species,wfo-3000001252,J.J.Sm.,Ericaceae,Ericoideae,,,Rhododendron,Vireya,loerzingii,,species,Valid,Meded. Dept. Landb. Ned.-Indië 18: 107 (1914),Accepted,,,,"Source in seed data: ksu Updated scientificnameAuthorship from J.J.Sm. to J.J.Sm. in Koord. & Valeton, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2417892 >The",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000399917,The Ericaceae TEN,A,kew-2417892
wfo-0000399918,urn:lsid:ipni.org:names:332788-1,556082,Rhododendron lompohense,species,wfo-3000001252,Argent,Ericaceae,Ericoideae,,,Rhododendron,Vireya,lompohense,,species,Valid,"Bull. Jard. Bot. Buitenzorg, sér. 3, 1: 402 (1920)",Accepted,,,,"Source in seed data: ksu Update namepublishedIn from Bull. Jard. Bot. Buitenzorg III, 1: 402 1920 to Bull. Jard. Bot. Buitenzorg , sér. 3, 1: 402 (1920), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http:/",2022-04-16,2025-12-15,https://padme.rbge.org.uk/wfo/wfo-0000399918,The Ericaceae TEN,A,kew-2417893
wfo-0000399924,urn:lsid:ipni.org:names:332774-1,556093,Rhododendron lineare,species,wfo-1200001481,Merr.,Ericaceae,Ericoideae,,,Rhododendron,Vireya,lineare,,species,Valid,J. Straits Branch Roy. Asiat. Soc. 76: 108 (1917),Accepted,,,,"Source in seed data: ksu Update namepublishedIn from J. Straits Branch Roy. Asiat. Soc. 76: 108 1917 to J. Straits Branch Roy. Asiat. Soc. 76: 108 (1917), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http:/",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000399924,The Ericaceae TEN,A,kew-2417904
wfo-0000399930,urn:lsid:ipni.org:names:332801-1,556105,Rhododendron lowii,species,wfo-3000001252,Hook.f.,Ericaceae,Ericoideae,,,Rhododendron,Vireya,lowii,,species,Valid,Hooker's Icon. Pl. 9: t. 883 (1851),Accepted,,,,"Source in seed data: ksu Update namepublishedIn from Hooker's Icon. Pl. 9: t. 883 1851 to Hooker's Icon. Pl. 9: t. 883 (1851), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000399930,The Ericaceae TEN,A,kew-2417916
wfo-0000399931,urn:lsid:ipni.org:names:332802-1,556106,Rhododendron lowndesii,species,wfo-1000002621,Davidian,Ericaceae,Ericoideae,,,Rhododendron,Rhododendron,lowndesii,,species,Valid,Notes Roy. Bot. Gard. Edinburgh 21: 99 (1952),Accepted,,,,"Source in seed data: ksu Update namepublishedIn from Notes Roy. Bot. Gard. Edinburgh 21: 99 1952 to Notes Roy. Bot. Gard. Edinburgh 21: 99 (1952), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.the",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000399931,The Ericaceae TEN,A,kew-2417917
wfo-0000399935,urn:lsid:ipni.org:names:332798-1,556111,Rhododendron loranthiflorum,species,wfo-1000002634,Sleumer,Ericaceae,Ericoideae,,,Rhododendron,Vireya,loranthiflorum,,species,Valid,Notizbl. Bot. Gart. Berlin-Dahlem 12: 485 (1935),Accepted,,,,"Source in seed data: ksu Update namepublishedIn from Notizbl. Bot. Gart. Berlin-Dahlem 12: 485 1935 to Notizbl. Bot. Gart. Berlin-Dahlem 12: 485 (1935), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://w",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000399935,The Ericaceae TEN,A,kew-2417922
wfo-0000399936,urn:lsid:ipni.org:names:332809-1,556116,Rhododendron luraluense,species,wfo-3000001252,Sleumer,Ericaceae,Ericoideae,,,Rhododendron,Vireya,luraluense,,species,Valid,Notizbl. Bot. Gart. Berlin-Dahlem 12: 485 (1935),Accepted,,,,"Source in seed data: ksu Update namepublishedIn from Notizbl. Bot. Gart. Berlin-Dahlem 12: 485 1935 to Notizbl. Bot. Gart. Berlin-Dahlem 12: 485 (1935), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://w",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000399936,The Ericaceae TEN,A,kew-2417927
