taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,created,modified,reference,source,majorGroup,tplID
wfo-0001250535,urn:lsid:ipni.org:names:932267-1,50156167,Rhododendron kangdingense,species,,Z.J.Zhao,Ericaceae,Ericoideae,,,Rhododendron,Rhododendron,kangdingense,,species,Valid,"Bull. Bot. Res., Harbin 7(3): 61 (1987)",Synonym,wfo-0001250536,,,"Source in seed data: tro Update namepublishedIn from Bull. Bot. Res., Harbin 7(3): 61–62, photo 4 1987 to Bull. Bot. Res., Harbin 7(3): 61 (1987), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.t",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0001250535,The Ericaceae TEN,A,tro-50156167
wfo-0000400700,urn:lsid:ipni.org:names:940956-1,557641,Rhododendron japonoheptamerum,species,wfo-1000002603,Kitam.,Ericaceae,Ericoideae,,,Rhododendron,Hymenanthes,japonoheptamerum,,species,Valid,Acta Phytotax. Geobot. 38: 382 (1987),Accepted,,,,"Source in seed data: ksu Update namepublishedIn from Acta Phytotax. Geobot. 38: 382 1987 to Acta Phytotax. Geobot. 38: 382 (1987), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tp",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000400700,The Ericaceae TEN,A,kew-2419481
wfo-0001229802,urn:lsid:ipni.org:names:333268-1,50060780,Rhododendron rufohirtum,species,wfo-1200001570,Hand.-Mazz.,Ericaceae,Ericoideae,,,Rhododendron,Azaleastrum,rufohirtum,,species,Valid,"Anz. Akad. Wiss. Wien, Math.-Naturwiss. Kl. 58: 153 (1921)",Accepted,,,,"Source in seed data: tro Update namepublishedIn from Akad. Wiss. Wien, Math.-Naturwiss. Kl., Anz. 58: 153 1921 to Anz. Akad. Wiss. Wien, Math.-Naturwiss. Kl. 58: 153 (1921), information provided by Alan E. on email Jun. 07 2021 More details could be foun",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0001229802,The Ericaceae TEN,A,tro-50060780
wfo-0001229866,urn:lsid:ipni.org:names:900773-1,50060864,Rhododendron jinpingense,species,wfo-1200001570,W.P.Fang & M.Y.He,Ericaceae,Ericoideae,,,Rhododendron,Azaleastrum,jinpingense,,species,Valid,"Bull. Bot. Res., Harbin 2(2): 85 (1982)",Accepted,,,,"Source in seed data: tro Update namepublishedIn from Bull. Bot. Res., Harbin 2(2): 85–86, pl. 4 1982 to Bull. Bot. Res., Harbin 2(2): 85 (1982), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.the",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0001229866,The Ericaceae TEN,A,tro-50060864
wfo-0000557865,urn:lsid:ipni.org:names:27657-2,799188,Azalea nudiflora var. partita,variety,,Aiton,Ericaceae,Ericoideae,,,Azalea,Hymenanthes,nudiflora,partita,variety,Valid,Hort. Kew. 1: 203 (1789),Synonym,wfo-0001047079,,,"Source in seed data: cmp Update namepublishedIn from Hort. Kew. 1: 203 1789 to Hort. Kew. 1: 203 (1789), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2667189 >T",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000557865,The Ericaceae TEN,A,kew-2667189
wfo-0001388289,urn:lsid:ipni.org:names:917251-1,ten:padme.rbge.org.uk:ericaceae15575,Rhododendron naamkwanense var. cryptonerve,variety,wfo-0001047943,P.C.Tam,Ericaceae,Ericoideae,,,Rhododendron,Azaleastrum,naamkwanense,cryptonerve,variety,Valid,"Bull. Bot. Res., Harbin 2(1): 94 (1982)",Accepted,,,,"Source in seed data: ipni Update namepublishedIn from Bull. Bot. Res., Harbin 2(1): 94. 1982 to Bull. Bot. Res., Harbin 2(1): 94 (1982), information provided by Alan E. on email Jun. 07 2021",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0001388289,The Ericaceae TEN,A,
wfo-0000400326,urn:lsid:ipni.org:names:333034-1,556899,Rhododendron pallidum,species,,(Turcz.) Dümmer,Ericaceae,Ericoideae,,,Rhododendron,Rhododendron,pallidum,,species,Valid,"Gard. Chron. , ser. 3, 53: 264 (1913)",Synonym,wfo-0000399947,,,"Source in seed data: ksu Updated scientificnameAuthorship from (Turcz.) Dümmer to Dümmer, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2418711 >The Plant List",2022-04-16,2025-05-22,https://padme.rbge.org.uk/wfo/wfo-0000400326,The Ericaceae TEN,A,kew-2418711
wfo-0001324466,urn:lsid:ipni.org:names:219443-2,ten:padme.rbge.org.uk:ericaceae14954,Rhododendron atlanticum f. luteoalbum,form,,(Coker) Fernald,Ericaceae,Ericoideae,,,Rhododendron,Hymenanthes,atlanticum,luteoalbum,form,Valid,Rhodora 43: 622 (1941),Synonym,wfo-0001047062,wfo-0001379298,,"Source in seed data: ipni Updated majorGroup from to A, information provided by Alan E. on email Mar 08 2021",2022-04-16,2025-02-05,https://padme.rbge.org.uk/wfo/wfo-0001324466,The Ericaceae TEN,A,
wfo-0001048818,urn:lsid:ipni.org:names:50976447-1,12304929,Rhododendron sanguineum subsp. mesaeum,subspecies,,Balf.f. ex Cowan,Ericaceae,Ericoideae,,,Rhododendron,Hymenanthes,sanguineum,mesaeum,subspecies,Valid,Notes Roy. Bot. Gard. Edinburgh 20(97): 70 1940,Synonym,wfo-0001229652,,,"Source in seed data: tro TEN data. Leave as is, information provided by Alan E. on email Oct. 14 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-12304929 >The Plant List v.1.1.</a> Originally in <a href=http://ww",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0001048818,The Ericaceae TEN,A,tro-12304929
wfo-1000040525,urn:lsid:ipni.org:names:77348618-1,ten:padme.rbge.org.uk:ericaceae14870,Rhododendron subg. Azaleastrum,subgenus,wfo-4000033027,(Maxim.) Planch.,Ericaceae,Ericoideae,,,Rhododendron,Azaleastrum,,,subgenus,Valid,Dendrologie 2(1): 159 (1872),Accepted,,,,,2022-09-26,2024-10-01,https://padme.rbge.org.uk/wfo/wfo-1000040525,The Ericaceae TEN,A,
