taxonID,section,subsection
wfo-0000399990,Pentanthera,Pentanthera
wfo-0000400297,Pentanthera,Sinensia
wfo-0000400745,Pentanthera,Pentanthera
wfo-0000744590,Pentanthera,Pentanthera
wfo-0001047059,Pentanthera,Pentanthera
wfo-0001047061,Pentanthera,Pentanthera
wfo-0001047062,Pentanthera,Pentanthera
wfo-0001047063,Pentanthera,Pentanthera
wfo-0001047064,Pentanthera,Pentanthera
wfo-0001047065,Pentanthera,Pentanthera
wfo-0001047067,Pentanthera,Pentanthera
wfo-0001047072,Pentanthera,Pentanthera
wfo-0001047077,Pentanthera,Pentanthera
wfo-0001047079,Pentanthera,Pentanthera
wfo-0001047080,Pentanthera,Pentanthera
wfo-0001047081,Pentanthera,Pentanthera
wfo-0001047632,Pentanthera,Pentanthera
wfo-0001047634,Pentanthera,Pentanthera
wfo-0000399988,Pontica,Grandia
wfo-0000400004,Pontica,Pontica
wfo-0000400060,Pontica,Irrorata
wfo-0000400063,Pontica,Grandia
wfo-0000400081,Pontica,Pontica
wfo-0000400099,Pontica,Irrorata
wfo-0000400164,Pontica,Lanata
wfo-0000400178,Pontica,Pontica
wfo-0000400200,Pontica,Parishia
wfo-0000400348,Pontica,Taliensia
wfo-0000400350,Pontica,Pontica
wfo-0000400399,Pontica,Taliensia
wfo-0000400593,Pontica,Maculifera
wfo-0000400645,Pontica,Fortunea
wfo-0000400665,Pontica,Glischrum
wfo-0000400700,Pontica,Pontica
wfo-0000400775,Pontica,Falconera
wfo-0000400778,Pontica,Pontica
wfo-0000400784,Pontica,Pontica
wfo-0000400818,Pontica,Falconera
wfo-0000400826,Pontica,Irrorata
wfo-0000403034,Pontica,Pontica
wfo-0000403280,Pontica,Pontica
wfo-0000403316,Pontica,Thomsonia
wfo-0000405438,Pontica,Thomsonia
wfo-0000405445,Pontica,Barbata
wfo-0000405469,Pontica,Glischrum
wfo-0000405473,Pontica,Pontica
wfo-0000405486,Pontica,Glischrum
wfo-0000405677,Pontica,Grandia
wfo-0000405698,Pontica,Irrorata
wfo-0000405716,Pontica,Pontica
wfo-0000507900,Pontica,Taliensia
wfo-0000744593,Pontica,Fortunea
wfo-0000747042,Pontica,Fortunea
wfo-0000747043,Pontica,Argyrophylla
wfo-0000747050,Pontica,Maculifera
wfo-0000747072,Pontica,Argyrophylla
wfo-0000747073,Pontica,Irrorata
wfo-0000750131,Pontica,Fortunea
wfo-0001039656,Pontica,Taliensia
wfo-0001046884,Pontica,Pontica
wfo-0001047069,Pontica,Pontica
wfo-0001047073,Pontica,Pontica
wfo-0001047074,Pontica,Pontica
wfo-0001047851,Pontica,Pontica
wfo-0001047937,Pontica,Irrorata
wfo-0001047938,Pontica,Neriiflora
wfo-0001047942,Pontica,Irrorata
wfo-0001047944,Pontica,Irrorata
wfo-0001047945,Pontica,Argyrophylla
wfo-0001048292,Pontica,Falconera
wfo-0001048300,Pontica,Taliensia
wfo-0001048301,Pontica,Campylocarpa
wfo-0001048304,Pontica,Taliensia
wfo-0001048305,Pontica,Taliensia
wfo-0001048600,Pontica,Selensia
wfo-0001048625,Pontica,Parishia
wfo-0001048627,Pontica,Taliensia
wfo-0001048644,Pontica,Taliensia
wfo-0001048672,Pontica,Taliensia
wfo-0001048673,Pontica,Taliensia
wfo-0001048677,Pontica,Campylocarpa
wfo-0001048683,Pontica,Fulva
wfo-0001048687,Pontica,Taliensia
wfo-0001048694,Pontica,Neriiflora
wfo-0001048697,Pontica,Taliensia
wfo-0001048698,Pontica,Taliensia
wfo-0001048701,Pontica,Neriiflora
wfo-0001048702,Pontica,Neriiflora
wfo-0001048704,Pontica,Griersoniana
wfo-0001048706,Pontica,Irrorata
wfo-0001048712,Pontica,Selensia
wfo-0001048713,Pontica,Neriiflora
wfo-0001048724,Pontica,Selensia
wfo-0001048726,Pontica,Neriiflora
wfo-0001048728,Pontica,Neriiflora
wfo-0001048731,Pontica,Selensia
wfo-0001048732,Pontica,Lanata
wfo-0001048733,Pontica,Neriiflora
wfo-0001048734,Pontica,Irrorata
wfo-0001048739,Pontica,Barbata
wfo-0001048741,Pontica,Lanata
wfo-0001048743,Pontica,Fulgensia
wfo-0001048744,Pontica,Thomsonia
wfo-0001048745,Pontica,Lanata
wfo-0001048747,Pontica,Grandia
wfo-0001048748,Pontica,Taliensia
wfo-0001048751,Pontica,Thomsonia
wfo-0001048752,Pontica,Thomsonia
wfo-0001048756,Pontica,Barbata
wfo-0001048757,Pontica,Falconera
wfo-0001048762,Pontica,Neriiflora
wfo-0001048763,Pontica,Glischrum
wfo-0001048765,Pontica,Glischrum
wfo-0001048773,Pontica,Grandia
wfo-0001048774,Pontica,Taliensia
wfo-0001048777,Pontica,Falconera
wfo-0001048778,Pontica,Grandia
wfo-0001048786,Pontica,Thomsonia
wfo-0001048793,Pontica,Thomsonia
wfo-0001048796,Pontica,Taliensia
wfo-0001048798,Pontica,Falconera
wfo-0001048799,Pontica,Grandia
wfo-0001048803,Pontica,Grandia
wfo-0001048807,Pontica,Selensia
wfo-0001048809,Pontica,Glischrum
wfo-0001048810,Pontica,Taliensia
wfo-0001048811,Pontica,Thomsonia
wfo-0001048812,Pontica,Barbata
wfo-0001048813,Pontica,Neriiflora
wfo-0001048844,Pontica,Neriiflora
wfo-0001048852,Pontica,Venatora
wfo-0001048853,Pontica,Argyrophylla
wfo-0001048854,Pontica,Falconera
wfo-0001048858,Pontica,Falconera
wfo-0001048861,Pontica,Taliensia
wfo-0001048862,Pontica,Neriiflora
wfo-0001048863,Pontica,Neriiflora
wfo-0001048866,Pontica,Taliensia
wfo-0001048867,Pontica,Neriiflora
wfo-0001048871,Pontica,Taliensia
wfo-0001048873,Pontica,Neriiflora
wfo-0001048874,Pontica,Taliensia
wfo-0001048875,Pontica,Neriiflora
wfo-0001048876,Pontica,Neriiflora
wfo-0001048878,Pontica,Selensia
wfo-0001048880,Pontica,Fortunea
wfo-0001048884,Pontica,Taliensia
wfo-0001048890,Pontica,Neriiflora
wfo-0001048891,Pontica,Thomsonia
wfo-0001048892,Pontica,Fulva
wfo-0001048893,Pontica,Taliensia
wfo-0001048894,Pontica,Irrorata
wfo-0001048895,Pontica,Taliensia
wfo-0001048897,Pontica,Taliensia
wfo-0001048898,Pontica,Taliensia
wfo-0001048899,Pontica,Campylocarpa
wfo-0001048902,Pontica,Taliensia
wfo-0001048903,Pontica,Argyrophylla
wfo-0001048904,Pontica,Fortunea
wfo-0001048907,Pontica,Fortunea
wfo-0001048909,Pontica,Maculifera
wfo-0001048915,Pontica,Taliensia
wfo-0001048916,Pontica,Thomsonia
wfo-0001048924,Pontica,Argyrophylla
wfo-0001048930,Pontica,Fortunea
wfo-0001048931,Pontica,Taliensia
wfo-0001048933,Pontica,Argyrophylla
wfo-0001048936,Pontica,Argyrophylla
wfo-0001048937,Pontica,Argyrophylla
wfo-0001048942,Pontica,Argyrophylla
wfo-0001048944,Pontica,Maculifera
wfo-0001048961,Pontica,Fortunea
wfo-0001219279,Pontica,Taliensia
wfo-0001219282,Pontica,Fortunea
wfo-0001219286,Pontica,Argyrophylla
wfo-0001219287,Pontica,Grandia
wfo-0001219289,Pontica,Argyrophylla
wfo-0001219678,Pontica,Campylocarpa
wfo-0001219680,Pontica,Maculifera
wfo-0001219681,Pontica,Maculifera
wfo-0001219691,Pontica,Parishia
wfo-0001219692,Pontica,Grandia
wfo-0001219693,Pontica,Williamsiana
wfo-0001220138,Pontica,Pontica
wfo-0001220145,Pontica,Maculifera
wfo-0001220550,Pontica,Taliensia
wfo-0001220765,Pontica,Selensia
wfo-0001220767,Pontica,Irrorata
wfo-0001220768,Pontica,Fortunea
wfo-0001220769,Pontica,Irrorata
wfo-0001220770,Pontica,Falconera
wfo-0001220771,Pontica,Taliensia
wfo-0001220808,Pontica,Maculifera
wfo-0001228142,Pontica,Maculifera
wfo-0001228143,Pontica,Argyrophylla
wfo-0001228537,Pontica,Irrorata
wfo-0001228538,Pontica,Fortunea
wfo-0001228539,Pontica,Argyrophylla
wfo-0001229303,Pontica,Fortunea
wfo-0001229307,Pontica,Fortunea
wfo-0001229308,Pontica,Fortunea
wfo-0001229309,Pontica,Fortunea
wfo-0001229310,Pontica,Fortunea
wfo-0001229316,Pontica,Fortunea
wfo-0001229318,Pontica,Fortunea
wfo-0001229319,Pontica,Fortunea
wfo-0001229320,Pontica,Fortunea
wfo-0001229325,Pontica,Fortunea
wfo-0001229326,Pontica,Fortunea
wfo-0001229327,Pontica,Fortunea
wfo-0001229333,Pontica,Fortunea
wfo-0001229336,Pontica,Fortunea
wfo-0001229339,Pontica,Fortunea
wfo-0001229340,Pontica,Fortunea
wfo-0001229345,Pontica,Fortunea
wfo-0001229346,Pontica,Fortunea
wfo-0001229350,Pontica,Fortunea
wfo-0001229351,Pontica,Fortunea
wfo-0001229352,Pontica,Grandia
wfo-0001229354,Pontica,Grandia
wfo-0001229355,Pontica,Grandia
wfo-0001229358,Pontica,Grandia
wfo-0001229359,Pontica,Falconera
wfo-0001229360,Pontica,Falconera
wfo-0001229363,Pontica,Falconera
