taxonID,scianem,auth,subgenus,section,subsection
wfo-0001048922,Rhododendron bachii,H.Lév.,Azaleastrum,Azaleastrum,
wfo-0001229726,Rhododendron hangzhouense,W.P.Fang & M.Y.He,Azaleastrum,Azaleastrum,
wfo-0001229728,Rhododendron hongkongense,Hutch.,Azaleastrum,Azaleastrum,
wfo-0001048707,Rhododendron leptothrium,Balf.f. & Forrest,Azaleastrum,Azaleastrum,
wfo-0001229730,Rhododendron medoense,W.P.Fang & M.Y.He,Azaleastrum,Azaleastrum,
wfo-0000400307,Rhododendron ngawchangensis,M.N.Philipson & Philipson,Azaleastrum,Azaleastrum,
wfo-0001229720,Rhododendron ovatum,(Lindl.) Maxim. ex Planch.,Azaleastrum,Azaleastrum,
wfo-0001229729,Rhododendron tianlinense,P.C.Tam,Azaleastrum,Azaleastrum,
wfo-0000405714,Rhododendron uwaense,H.Hara & T.Yamanaka,Azaleastrum,Azaleastrum,
wfo-0001048914,Rhododendron vialii,Delavay & Franch.,Azaleastrum,Azaleastrum,
wfo-1000007435,Rhododendron microcarpum,R.L.Liu & L.M.Gao,Azaleastrum,,
wfo-0001047060,Rhododendron albiflorum,Hook.,Azaleastrum,Sciadorhodion,
wfo-0000400494,Rhododendron albrechtii,Maxim.,Azaleastrum,Sciadorhodion,
wfo-0000750120,Rhododendron benhallii,Craven,Azaleastrum,Sciadorhodion,
wfo-0000750128,Rhododendron goyozanense,(M.Kikuchi) Craven,Azaleastrum,Sciadorhodion,
wfo-0000749223,Rhododendron × kamatae,(Mochizuki) Craven,Azaleastrum,Sciadorhodion,
wfo-0000750122,Rhododendron katsumatae,(M.Tash. & H.Hatta) Craven,Azaleastrum,Sciadorhodion,
wfo-0000749218,Rhododendron kroniae,Craven,Azaleastrum,Sciadorhodion,
wfo-0000750124,Rhododendron menziesii,Craven,Azaleastrum,Sciadorhodion,
wfo-0000750125,Rhododendron multiflorum,(Maxim.) Craven,Azaleastrum,Sciadorhodion,
wfo-0000750121,Rhododendron pentandrum,(Maxim.) Craven,Azaleastrum,Sciadorhodion,
wfo-0000400196,Rhododendron pentaphyllum,Maxim.,Azaleastrum,Sciadorhodion,
